Pollinator Library ID,Determined By,Order,Family,Genus,Species,Origin Facility,Date,Time,Collected By,Plant Order,Plant Family,Plant Genus,Plant Species,Land Use,State Collected,County Collected,Elevation (m),Longitude,Latitude,Average Wind Speed (km/h),Air temperature (°C),Relative Humidity (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_001,Sara Clark,Hymenoptera,Andrenidae,Andrena,sp.,Northern Prairie Wildlife Research Center,20120517,N/A,Russ Bryant,Rhamnales,Elaeagnaceae,Elaeagnus,commutata,National Wildlife Refuge,North Dakota,Benson,489,-99.00,47.96,12,15,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_002,Sara Clark,Hymenoptera,Andrenidae,Andrena,sp.,Northern Prairie Wildlife Research Center,20120517,N/A,Russ Bryant,Rhamnales,Elaeagnaceae,Elaeagnus,commutata,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,12,15,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_003,Sara Clark,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20120517,N/A,Russ Bryant,Rhamnales,Elaeagnaceae,Elaeagnus,commutata,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,12,15,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_004,Sara Clark,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20120517,N/A,Russ Bryant,Rhamnales,Elaeagnaceae,Elaeagnus,commutata,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,12,15,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_005,Sara Clark,Hymenoptera,Halictidae,Halictus,ligatus,Northern Prairie Wildlife Research Center,20120522,N/A,Russ Bryant,Asterales,Asteraceae,Erigeron,annuus,Conservation Reserve Program,North Dakota,Richland,336,-97.16,46.14,13,28,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_006,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120522,N/A,Russ Bryant,Asterales,Asteraceae,Erigeron,annuus,Conservation Reserve Program,North Dakota,Richland,336,-97.16,46.14,13,28,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_007,Sara Clark,Hymenoptera,Apidae,Ceratina,calcarata/dupla,Northern Prairie Wildlife Research Center,20120522,N/A,Russ Bryant,Asterales,Asteraceae,Erigeron,sp.,Conservation Reserve Program,North Dakota,Richland,336,-97.16,46.14,13,28,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_008,Sara Clark,Hymenoptera,Andrenidae,Andrena,sp.,Northern Prairie Wildlife Research Center,20120531,N/A,Russ Bryant,Rhamnales,Elaeagnaceae,Elaeagnus,commutata,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,3,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_009,Sara Clark,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20120531,N/A,Russ Bryant,Rhamnales,Elaeagnaceae,Elaeagnus,commutata,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,3,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_010,Sara Clark,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20120531,N/A,Russ Bryant,Rhamnales,Elaeagnaceae,Elaeagnus,commutata,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,3,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
